Galaxy,Inc_deg,D_Mpc,Rdisk_kpc,Rdisk_arcsec,Vflat_kms,outer_slope_ols,kappa_screening,screening_group
NGC5371,53.0,39.7,7.44,38.6552040302267,209.5,-0.2069575298197987,eligible,Eligible for first-pass κ measurement
NGC5585,51.0,7.06,1.53,44.70048866855524,90.3,0.1757429797112572,eligible,Eligible for first-pass κ measurement
NGC5907,88.0,17.3,5.34,63.66792485549133,215.0,-0.0753915838950807,edge-on geometry (Inc > 75°),Excluded: edge-on geometry
NGC5985,60.0,39.7,7.01,36.421099496221665,293.6,-0.0022664846445345,eligible,Eligible for first-pass κ measurement
NGC6015,60.0,17.0,2.3,27.906441176470587,154.1,0.0316839837501592,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
NGC6503,74.0,6.26,2.16,71.17130990415336,116.3,-0.0054064621294685,eligible,Eligible for first-pass κ measurement
NGC6674,54.0,51.2,6.04,24.33282421875,241.3,-0.0873412102187079,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
NGC6946,38.0,5.52,2.44,91.17510869565217,158.9,-0.1332943987326888,eligible,Eligible for first-pass κ measurement
NGC7331,75.0,14.7,5.02,70.43879591836735,239.0,-0.0017658419351395,eligible,Eligible for first-pass κ measurement
NGC7793,47.0,3.61,1.21,69.13591412742382,0.0,-0.1412348051775395,eligible,Eligible for first-pass κ measurement
NGC7814,90.0,14.4,2.54,36.38285416666667,218.9,-0.0659359591501644,edge-on geometry (Inc > 75°),Excluded: edge-on geometry
UGC00128,57.0,64.5,5.95,19.027546511627907,129.3,0.0339990979908808,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC02487,36.0,69.1,7.89,23.55182127351664,332.0,-0.1164102212030956,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC02885,64.0,80.6,11.4,29.173957816377172,289.5,0.0945254851929525,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC02916,50.0,65.4,6.15,19.396479357798164,182.7,-0.2171071756357316,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC02953,50.0,16.5,3.55,44.378227272727266,264.9,-0.1165138692164272,eligible,Eligible for first-pass κ measurement
UGC03205,67.0,50.0,3.19,13.159707,219.6,-0.0401749291176269,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC03546,55.0,28.7,3.79,27.238479094076652,196.9,-0.0738438759423603,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC03580,63.0,20.7,2.43,24.21371739130435,126.2,0.1543078384759204,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC05253,37.0,22.9,8.07,72.68814628820961,213.7,-0.1906671977375318,eligible,Eligible for first-pass κ measurement
UGC05716,54.0,21.3,1.14,11.039535211267605,73.1,0.2193976962542426,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC05721,61.0,6.18,0.38,12.682961165048544,79.7,0.0548657070450106,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC05986,90.0,8.63,1.67,39.91454808806488,113.0,-0.0663907280361377,edge-on geometry (Inc > 75°),Excluded: edge-on geometry
UGC06446,51.0,12.0,1.49,25.611237499999998,82.2,0.1006855290627026,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC06614,36.0,88.7,5.1,11.85965614430665,199.8,0.1242629137815806,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC06786,64.0,29.3,3.6,25.343139931740613,219.4,-0.0491586918838173,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
