Galaxy,Rgt2.0Rdisk,Rgt2.5Rdisk,Rgt3.0Rdisk,last40pct
NGC4559,0.10584618730743194,0.09172786586460745,0.07776822985069803,-0.06085324844685786
NGC5005,,,,0.01630379307658495
NGC5033,-0.12485592636160082,-0.14858736260415986,-0.17187608415434616,-0.2479556807801628
NGC5055,-0.08731602964120548,-0.109976838700355,-0.12277589343110365,-0.1062553812828622
NGC5371,-0.19040611509813476,-0.20695752981979873,-0.20946289307165541,-0.17836310211889228
NGC5585,0.19541443502434072,0.17574297971125727,0.14411115859120627,0.14411115859120627
NGC5907,-0.07454799720797675,-0.07539158389508076,-0.08096857814163938,0.028754592992572114
NGC5985,-0.018505890186717562,-0.0022664846445345165,-0.055106671369110447,-0.0022664846445345165
NGC6015,0.03846788690392111,0.031683983750159225,0.02950180314333226,-0.09922692383714225
NGC6195,-0.1749023718001243,,,0.007975087733245753
NGC6503,-0.013097627460006941,-0.005406462129468506,-0.0061405246058705365,0.0005229610356268624
NGC6674,-0.10582759099834772,-0.08734121021870798,-0.06879943403522107,0.084139165006029
NGC6789,,,,0.7775174255266689
NGC6946,-0.1142031912753013,-0.13329439873268886,-0.15049613265385822,-0.2573095868523276
NGC7331,-0.016392557348775642,-0.0017658419351395673,0.01971308744876489,0.002371503422607597
NGC7793,-0.007837036329490014,-0.14123480517753953,-0.2797275159778293,-0.007837036329490014
NGC7814,-0.06560710392056564,-0.0659359591501644,-0.061231572981729245,-0.011447037182607592
PGC51017,-0.07529036709119485,-0.07529036709119485,-0.07529036709119485,-0.06251014180034611
UGC00128,0.06124027232867971,0.03399909799088081,0.015107543578659146,0.005082996145668031
UGC00191,0.1292482924329603,0.1292482924329603,0.1292482924329603,0.11073497941748323
UGC00634,0.1451913218342807,0.1451913218342807,0.1451913218342807,-0.016140618650058277
UGC00731,0.19399486047644462,0.14458560060900033,0.07368279926360324,0.07368279926360324
UGC00891,0.421359653314841,0.323976215672325,0.323976215672325,0.26612999623605016
UGC01230,-0.08054267266840898,-0.08054267266840898,-0.08054267266840898,-0.08054267266840898
UGC01281,0.13738014082327082,0.1293024891312238,,0.3117707114856959
UGC02023,,,,0.9270440486268159
UGC02259,0.12550403166862487,0.12550403166862487,0.15618604577665937,0.15618604577665937
UGC02455,0.8792700210949927,0.9705429923141965,1.15049130139995,0.9705429923141965
UGC02487,-0.11641022120309566,-0.11641022120309566,-0.14794063836823176,-0.023604093887739385
UGC02885,0.06086495177817126,0.09452548519295252,0.10196557317425912,0.06968461526675188
UGC02916,-0.14670006156923332,-0.2171071756357316,-0.3014502090841764,-0.11011099762013998
UGC02953,-0.10880568895717006,-0.11651386921642726,-0.11536709394951737,-0.11398909930384947
UGC03205,-0.054191134685040894,-0.04017492911762695,-0.02685557324558123,-0.02685557324558123
UGC03546,-0.05509502449246231,-0.07384387594236035,-0.07923382458063817,-0.07384387594236035
UGC03580,0.16946040111928465,0.15430783847592042,0.15430783847592042,0.16977847605421334
UGC04278,0.656020792605986,0.5460558706994564,,0.6979382211229577
UGC04305,0.051102421546201836,0.13124686539080938,0.2318255721789741,0.2318255721789741
UGC04325,-0.0017127028281711618,-0.09738989498018956,,0.03980671396051037
UGC04483,0.3028522805277413,0.2432608773180803,0.2432608773180803,0.31357638220995554
UGC04499,0.22161214542880323,0.17315532211094287,0.11985696679036367,0.11985696679036367
UGC05005,0.31513954866738914,0.28631452428821025,0.24578484607631113,0.24578484607631113
UGC05253,-0.156025214141339,-0.19066719773753188,-0.20370831703390202,-0.05929691235012409
UGC05414,0.42372651905356096,,,0.4191960417199887
UGC05716,0.21939769625424263,0.21939769625424263,0.19338664110881304,0.02569748641918787
UGC05721,0.09264973635304122,0.0548657070450106,0.011663245332087088,-0.019082495983098396
UGC05750,0.1170587030418923,0.06627077028092454,0.023983787310718842,0.17854795536681067
UGC05764,-0.35865650185613035,-0.019112775650574256,,-0.35865650185613035
UGC05829,0.6130754131334502,0.5676244785679555,0.47566769898553224,0.6130754131334502
UGC05918,0.2651408013051799,,,0.23389185899743598
UGC05986,-0.0033058062971728953,-0.06639072803613777,-0.11838673851201444,-0.2117517023111647
UGC05999,0.2508738936755259,0.21210527345111926,0.21210527345111926,0.15004670713875973
UGC06399,0.19315024893262311,0.134722948435574,0.19661848626252226,0.134722948435574
UGC06446,0.13471616959849264,0.10068552906270267,0.06175159373195347,0.005841695313433286
UGC06614,0.12794332513801843,0.12426291378158064,0.11192281890505018,0.06380020773815018
UGC06628,0.0,,,0.0
UGC06667,,,,0.1455282829990087
UGC06786,-0.034422784280855746,-0.04915869188381734,-0.05651320685143998,-0.01632315251340138
UGC06787,0.09916489781177751,0.16780189183563926,0.16135172371346132,0.014297448484131338
UGC06818,0.5867979923999789,0.5867979923999789,0.2848850721745349,0.2848850721745349
UGC06917,0.20900984961875865,0.25027931069470793,0.3070723228948132,0.25027931069470793
UGC06923,0.10159041095483917,0.10159041095483917,0.1563574955002719,0.10159041095483917
UGC06930,0.06205783151201369,0.01008473573610105,-0.028485514113406336,-0.028485514113406336
UGC06973,0.037091616267668895,0.07366545602426977,0.07366545602426977,0.14500058775081173
UGC06983,0.04207664067597731,-0.024952300416104613,-0.08074374753859428,-0.08074374753859428
UGC07089,0.349276420210192,0.33563767573094483,0.44050909434728386,0.30313628049689645
UGC07125,0.15535082880273357,0.1241630894328502,0.0030226661490883582,0.0030226661490883582
UGC07151,0.2042962108584703,0.21509077755161954,0.2047173356326224,0.21509077755161954
UGC07232,0.7981245820787382,,,0.7981245820787382
UGC07261,0.1592246110517638,0.1555990833274494,0.1555990833274494,0.10670391734642143
UGC07323,0.3296751513650656,,,0.3548567020548031
UGC07399,0.21653045091842762,0.25264726158752804,0.2739072488775688,0.25264726158752804
UGC07524,0.21123908687653892,0.08988615029688565,,0.2143834188979397
UGC07559,0.3658064823065904,0.22891530120003187,0.22891530120003187,0.22891530120003187
UGC07577,,,,0.8949478408408655
UGC07603,0.16903796327803025,0.16903796327803025,0.10476502776519232,0.15092752438901022
UGC07608,0.42393270142668243,0.36375470670125803,,0.47272511326977595
UGC07690,-0.05922711243373187,-0.09407061398264702,-0.09407061398264702,-0.1042060919334415
UGC07866,0.4320911289583044,0.4861276306190675,0.5291286263068138,0.4861276306190675
UGC08286,0.12712960971735776,0.12251286697751745,0.115432070696589,0.0721886066717343
UGC08490,0.038431534148186765,0.02140869019500459,0.01042733184177301,-0.09918118268613255
UGC08550,0.1731851574633782,0.15869915373093274,0.15869915373093274,0.17739624829199516
UGC08699,-0.0076327991702705026,-0.03817861946445659,-0.03067275866166903,-0.03977290816163546
UGC08837,0.22395454854037117,,,0.6561446474608587
UGC09037,0.09701038766574868,0.0639743328523854,-0.009811972917804787,-0.20837151152165265
UGC09133,-0.11779934073835048,-0.11381628467914066,-0.11119333798088663,-0.10758082380826381
UGC09992,0.07432897402895582,0.120545460100719,,0.120545460100719
UGC10310,0.10219569016054758,0.09508414551697322,0.09508414551697322,0.09508414551697322
UGC11455,-0.05062261488845017,-0.09344938363439834,-0.09086599819417734,-0.08669484510266012
UGC11557,0.018719998333628675,0.19433114475704938,0.19154220163078992,0.08277757807969487
UGC11820,0.32135262865505176,0.32135262865505176,0.2879927294215428,0.2879927294215428
UGC11914,0.06223214375620011,0.16169297148924217,0.19912812121778103,0.0455242057446751
UGC12506,-0.07579136488499605,-0.11060457175446814,-0.14860159360659084,-0.20662786603506875
UGC12632,0.1906075175516902,0.16350898405004288,0.1321677091692167,0.14790602061813912
UGC12732,0.2675464418192472,0.2725247493503248,0.2881104238839037,0.38671017524181023
UGCA281,,,,0.18630891940300626
UGCA442,0.19028987605438985,0.19028987605438985,0.07280422445013224,0.07280422445013224
UGCA444,0.4231050645989382,0.5462010636563299,2.6994708496546944,0.4186920898477046
