Galaxy,Q,Rdisk_kpc,Vflat_kms,Inc_deg,D_Mpc,L36_1e9solLum,MHI_1e9solMass,N_total,N_invalid_total,N_outer_raw,N_outer_valid,outer_radius_threshold_kpc,outer_slope_ols,outer_slope_stderr,outer_slope_weighted,intercept_log10,weighted_intercept_log10,flatness_abs,stability_index_log10,rvalue_loglog,pvalue_loglog,accepted_main,exclusion_reason_primary,exclusion_reasons_all
NGC0055,2,6.11,85.6,77.0,2.11,4.628,1.565,21,0,0,0,15.275,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
NGC0801,1,8.72,220.1,80.0,80.7,312.57,23.201,13,0,6,6,21.8,-0.03199621615283613,0.013186421554082076,-0.03948911175677469,2.389501472242401,2.402530879912874,0.03199621615283613,0.0037945387828663547,-0.7716577505805743,0.07225737098405559,False,insufficient_outer_points,insufficient_outer_points
NGC2955,1,18.76,0.0,56.0,97.9,319.422,28.949,24,0,0,0,46.900000000000006,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
NGC2976,2,1.01,85.4,61.0,3.58,3.371,0.172,27,0,0,0,2.525,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
NGC2998,1,6.2,209.9,58.0,68.1,150.902,23.451,13,0,6,6,15.5,-0.030781629669418505,0.025962763876446197,-0.035284565614979994,2.369734194348906,2.3782379863357885,0.030781629669418505,0.007416645507409373,-0.5099365967308874,0.3013958711933776,False,insufficient_outer_points,insufficient_outer_points
NGC3877,2,2.53,168.4,76.0,18.0,72.535,1.483,13,0,6,6,6.324999999999999,0.0256387522687058,0.021089972365829445,0.03685967999401571,2.2046425775267826,2.1943752304083186,0.0256387522687058,0.003328345975453301,0.5194147405508117,0.29094477501328325,False,insufficient_outer_points,insufficient_outer_points
NGC3893,1,2.38,174.0,49.0,18.0,58.525,5.799,10,0,7,7,5.949999999999999,-0.10711187925211754,0.02998496735009622,-0.0752865009691967,2.3763578573680184,2.3442232826774014,0.10711187925211754,0.010679618004840742,-0.8476299855627707,0.016006609362314864,False,insufficient_outer_points,insufficient_outer_points
NGC3949,2,3.59,163.0,55.0,18.0,38.067,3.371,7,0,0,0,8.975,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
NGC3953,1,4.89,220.8,62.0,18.0,141.301,2.832,8,0,2,2,12.225,-0.34863769161955366,0.0,-0.3486376916195584,2.7491811503847305,2.7491811503847363,0.34863769161955366,0.0,-1.0,0.0,False,insufficient_outer_points,insufficient_outer_points
NGC3972,1,2.18,132.7,77.0,18.0,14.353,1.214,10,0,4,4,5.45,0.24733686768399643,0.06473295225719916,0.240470889913023,1.9002414683452362,1.9062081253316963,0.24733686768399643,0.00608846426167225,0.9378228698867529,0.0621771301132471,False,insufficient_outer_points,insufficient_outer_points
NGC4010,2,2.81,125.8,89.0,18.0,17.193,2.832,12,0,4,4,7.025,-0.19880033900187907,0.013623392540353363,-0.19902058357189878,2.2892729836146866,2.2894675929502,0.19880033900187907,0.0010381076546509779,-0.9953367342850923,0.004663265714907716,False,insufficient_outer_points,insufficient_outer_points
NGC4051,2,4.65,157.0,49.0,18.0,95.268,2.697,7,0,1,1,11.625,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
NGC4068,2,0.59,0.0,44.0,4.37,0.236,0.154,6,0,3,3,1.4749999999999999,0.7049350944524402,0.028465969391831245,0.68477933461078,1.3614314282491844,1.3653523744133897,0.7049350944524402,0.0028124240432181274,0.999185684005986,0.025693370454198713,False,insufficient_outer_points,insufficient_outer_points
