Galaxy,R_kpc,Vobs_kms,errV_kms,Vgas_kms,Vdisk_kms,Vbul_kms,Vbar_kms,gobs_km2s2_per_kpc,gbar_km2s2_per_kpc,log10_gobs,log10_gbar,is_outer
ESO444-G084,2.32,58.0,3.11,20.09,12.28,0.0,23.545838273461406,1450.0,238.96831896551723,3.161368002234975,2.3783403285194598,True
ESO444-G084,3.39,63.1,1.35,17.39,9.97,0.0,20.045273757172787,1174.5162241887906,118.52890855457227,3.0698590202851865,2.073824285321475,True
ESO444-G084,4.44,62.7,7.36,14.45,8.53,0.0,16.779851012449424,885.4256756756757,63.41518018018017,2.947152111546813,1.8021932307422162,True
ESO563-G021,0.45,18.9,9.78,0.0,65.19,0.0,65.19,793.7999999999998,9443.858,2.8997110945711446,3.9751494483050305,False
ESO563-G021,1.34,58.3,10.5,0.0,120.17,0.0,120.17,2536.4850746268653,10776.737985074627,3.4042323111532204,4.032487323979912,False
ESO563-G021,2.23,74.1,5.69,0.0,137.48,0.0,137.48,2462.2466367713,8475.672825112106,3.3913315529104957,3.9281741838822146,False
ESO563-G021,3.12,119.0,4.27,0.0,146.18,0.0,146.18,4538.782051282051,6848.907820512821,3.6569393287666188,3.8356213210774657,False
ESO563-G021,4.01,141.0,3.76,0.0,157.86,0.0,157.86,4957.85536159601,6214.408877805488,3.6952938526905776,3.793399824318511,False
ESO563-G021,4.9,195.0,4.54,0.0,175.79,0.0,175.79,7760.204081632653,6306.555938775509,3.8898731426965223,3.7997922522508243,False
ESO563-G021,5.79,227.0,4.2,0.0,199.19,0.0,199.19,8899.65457685665,6852.617633851468,3.9493731506588095,3.8358564994897675,False
ESO563-G021,6.69,246.0,4.24,0.0,217.87,0.0,217.87,9045.739910313901,7095.267100149476,3.9564440964389354,3.8509687490447404,False
ESO563-G021,7.58,268.0,5.56,0.0,228.65,0.0,228.65,9475.461741424802,6897.206134564644,3.976600382425524,3.838673205801348,False
ESO563-G021,8.47,283.0,2.96,0.0,241.76,0.0,241.76,9455.6080283353,6900.578229043683,3.9756894607178737,3.8388854836591935,False
ESO563-G021,10.23,291.0,9.81,0.0,260.94,0.0,260.94,8277.712609970675,6655.8830498533725,3.9179103442596546,3.823205682385799,False
ESO563-G021,12.06,310.0,4.74,0.04,275.04,0.0,275.0400029086679,7968.49087893864,6272.554162520732,3.901376079864413,3.797444420067529,False
ESO563-G021,13.44,310.0,20.4,0.4,277.98,0.0,277.98028779033956,7150.297619047619,5749.4821726190485,3.854324118950739,3.759628731698123,False
ESO563-G021,15.18,310.0,16.1,3.11,282.25,0.0,282.2671334038024,6330.698287220026,5248.664993412384,3.801451616109084,3.7200488539349443,True
